NAME	DESCRIPTION	A54933	A54934	A54935	A54936	A54937	A54938
SV2A	na	0.8944	0.8634	0.696	0.7758	0.8473	0.7039
OTUD7B	na	4.5433	3.9397	5.1229	3.9413	4.1813	3.7212
C1orf54	na	18.4067	19.8286	18.9591	19.9279	18.9189	21.058
CIART	na	3.7143	5.215	3.3816	3.0635	2.8387	3.0249
MCL1	na	61.1436	69.1372	64.4102	86.8305	108.4159	103.2222
CTSS	na	147.9028	168.9995	145.3517	256.6429	334.1138	343.8341
MINDY1	na	22.9023	21.0156	26.3248	21.8202	23.7886	21.8977
GABPB2	na	4.0528	5.0613	4.3528	4.0833	3.4545	3.5472
SEMA6C	na	0.1049	0.1313	0.1156	0.1623	0.1729	0.1672
PI4KB	na	12.6667	12.7073	11.5812	12.7945	12.767	13.3677
POGZ	na	4.6728	4.8748	4.6714	4.7756	4.6992	4.5773
RABGGTB	na	40.7432	48.9707	42.9647	43.2257	37.8144	42.7441
ST6GALNAC5	na	0.1931	0.1522	0.2007	0.0466	0.0988	0.0551
PIGK	na	7.086	6.8393	6.9951	5.9007	5.2585	5.856
GIPC2	na	0.2295	0.1739	0.5857	0.1357	0.179	0.1561
ADGRL4	na	31.3745	19.5217	27.9937	54.0745	68.3985	48.8379
RPL22L1	na	144.968	139.9086	163.0041	155.6259	155.8934	157.6396
SEC24D	na	13.9397	15.0614	13.762	15.5494	15.3965	15.5879
FNDC3B	na	6.3163	6.6976	5.8696	8.5138	10.2354	8.9126
TNFSF10	na	0.6473	0.6493	0.6674	0.8867	1.2033	1.0101
USP53	na	1.151	1.1624	1.1479	1.2133	1.573	1.1856
FNBP1L	na	2.7789	2.0108	3.151	5.7363	6.2462	6.5694
DNTTIP2	na	26.006	27.9487	28.0221	32.6093	27.2419	26.3595
ZFAND1	na	3.1313	2.9676	3.5402	3.2378	3.3059	3.4125
ARHGAP29	na	0.548	0.4255	0.7081	0.9986	1.575	1.379
ALG14	na	12.6897	12.3361	12.7001	14.5251	14.2158	15.4571
ANKRD13C	na	5.0862	5.7543	5.6822	5.9788	5.4698	5.4838
PTGER3	na	19.5913	17.2247	25.9885	15.1538	16.7687	15.1127
ZNF704	na	4.3157	4.1943	4.4126	4.3887	4.6254	3.9882
KYAT3	na	7.7604	8.096	7.1112	7.6504	6.8973	6.5373
GBP3	na	4.3203	3.9853	4.4735	5.552	7.3458	6.3284
GBP2	na	1.2887	1.4197	1.3523	2.4363	3.9548	2.9924
MRPS28	na	50.511	55.1445	47.0982	43.9341	38.0281	41.2644
SLC25A24	na	9.3139	8.8412	9.7336	10.7948	12.4038	11.6695
IL7	na	0.0902	0.1471	0.1334	0.1789	0.0904	0.1614
FAM102B	na	5.1248	5.2189	5.0388	5.2702	6.0836	5.6749
PEX2	na	13.2214	14.9869	13.2258	12.4945	12.5814	11.9582
WDR47	na	0.68	0.8	0.8071	0.8768	1.0024	0.8173
GSTM1	na	0.7392	0.696	0.747	1.1341	0.927	1.3735
CD53	na	99.7088	88.9838	96.2526	117.3308	129.8909	130.3146
CEPT1	na	11.1936	10.0595	11.6099	14.5192	17.0783	16.1437
CHIA	na	84.246	117.9896	56.8936	17.7594	15.7755	28.0537
TET2	na	6.4478	7.3956	6.7453	6.6773	7.4509	6.6966
OSTC	na	147.2619	176.1852	150.2804	147.2103	136.0935	151.2198
ELOVL6	na	14.5252	17.0308	15.1961	14.6017	12.3514	13.3509
RUSC1	na	9.9147	9.5537	10.4151	10.4496	10.6649	10.4115
SSR2	na	261.9271	276.8348	241.5323	204.6748	182.1219	198.9006
CD1D	na	1.2707	0.882	0.9943	0.6312	0.9013	0.7023
FHDC1	na	0.4775	0.4684	0.7886	0.4519	0.8034	0.5567
TDRKH	na	2.9583	2.8612	3.0527	2.6978	2.5656	2.4771
S100A10	na	97.324	103.2052	106.2201	93.2899	93.8001	99.7504
ARHGEF11	na	3.1482	3.5013	3.1079	3.8439	4.2487	4.1073
IGSF3	na	0.071	0.1083	0.1037	0.1	0.0978	0.1145
ADRM1	na	7.8013	9.3097	7.4783	7.5081	5.9191	7.3642
S100A13	na	39.4652	42.7677	41.3385	40.6776	39.6089	43.4468
GATAD2B	na	9.0895	8.2384	8.6978	9.1867	10.8006	9.1327
DENND4B	na	11.6906	13.3394	12.8788	12.1999	12.6819	12.2087
UBAP2L	na	59.8693	61.9142	62.4711	69.2411	70.8762	64.2015
UBE2Q1	na	50.6347	55.9139	53.8125	55.9995	52.0631	54.676
PBXIP1	na	14.1217	14.7704	14.6996	15.2217	15.4546	15.7546
SHC1	na	13.9354	15.267	14.3708	15.1419	15.1347	15.1231
FLAD1	na	13.4274	14.8045	13.795	12.1338	11.0941	11.7459
DPM3	na	50.8102	42.4567	49.1911	44.3231	44.4207	42.557
KRTCAP2	na	125.7861	131.9427	122.4217	113.3275	101.2931	111.6978
TRIM46	na	4.9428	4.7305	4.5031	4.1182	3.7976	3.8385
MUC1	na	0.7946	1.1001	0.9118	0.7598	0.7521	0.7509
NHLRC3	na	4.8739	5.0805	4.7178	5.6685	6.2005	5.9557
B3GALNT1	na	0.1326	0.1049	0.1913	3.8553	3.1047	4.6342
ZC2HC1A	na	1.0494	1.0082	0.901	1.0849	1.2298	1.2123
CHIA	na	0.1224	0.0905	0.0602	0.1074	0.073	0.1738
S100A1	na	110.4937	107.3696	112.7663	85.3526	86.8998	90.4135
RSBN1	na	5.7676	5.6633	5.9145	5.0766	6.6666	5.5174
FOXO1	na	2.3008	1.8813	2.3422	2.1957	3.449	2.3222
MAB21L3	na	0.0372	0.0207	0.0604	0.1956	0.1999	0.1163
TENT5C	na	1.9423	1.6905	3.1441	1.3508	1.5783	1.3786
PLPPR4	na	3.7693	3.6043	3.9343	3.9967	4.1332	4.1866
UBE2J1	na	17.6762	18.9379	18.5317	20.8279	20.3775	21.7708
CASP8AP2	na	3.947	4.4404	4.2851	4.6357	3.8644	4.2035
MAP3K7	na	8.6488	9.1189	9.403	10.0783	9.9169	9.4223
EPHA7	na	0.1598	0.2207	0.1908	0.0894	0.0795	0.0438
AKIRIN2	na	24.189	24.8714	27.4734	26.5155	28.6994	27.5611
RARS2	na	13.6503	14.7778	14.1772	13.9419	13.4331	13.0713
SLC35A1	na	7.3338	6.6253	7.475	7.1596	7.3949	7.16
SMIM8	na	5.2045	5.3724	5.8859	5.4648	6.887	6.2371
C9orf72	na	1.5917	1.9734	1.517	3.9271	4.2575	4.4908
RNF20	na	9.5971	9.9547	10.1669	9.9761	9.2899	9.0525
SMC2	na	13.201	14.3811	14.0928	13.213	14.0721	12.5942
POLR1E	na	8.3363	9.0531	7.8848	7.828	6.5831	7.3034
EXOSC3	na	30.0998	32.9395	29.6148	27.69	24.674	26.9885
TMOD1	na	0.4213	0.3599	0.5106	0.392	0.4633	0.4092
XPA	na	10.0246	9.838	9.8649	10.1383	10.1703	10.5631
NCBP1	na	31.7909	36.7714	31.3565	31.6888	27.1904	28.6407
TRMO	na	5.6969	6.902	6.0678	5.0966	4.03	4.5321
HEMGN	na	7.6965	5.6521	9.4635	5.9572	7.0069	6.3045
ANP32B	na	402.7332	421.9731	388.2099	368.4091	324.528	350.3899
NANS	na	30.2972	32.2688	30.0435	29.3761	27.777	29.1505
CORO2A	na	39.4463	41.889	40.7636	45.0529	49.4072	45.0379
COL15A1	na	0.2524	0.2007	0.2629	0.1896	0.1162	0.1643
ERP44	na	26.5912	26.5988	27.4364	27.413	30.0039	31.5277
INVS	na	1.4517	1.5121	1.516	1.3225	1.5484	1.3917
TEX10	na	10.5141	11.9623	11.8561	11.4004	9.679	10.1356
TMEFF1	na	0.2965	0.2885	0.4277	1.0923	0.8293	0.931
AMBP	na	3.5487	4.4102	2.2564	2.4324	1.4914	2.8735
TNFSF8	na	0.6444	0.8373	0.5992	0.2902	0.3292	0.3273
TXN	na	382.0578	415.5199	365.8613	364.1603	330.9498	366.034
PTGR1	na	32.0373	36.0645	27.3807	27.6577	22.6404	29.699
UGCG	na	5.9804	5.4737	5.9279	8.6188	9.2284	8.7202
PTBP3	na	38.4921	32.059	38.4485	37.5277	40.2814	39.5411
HSDL2	na	10.496	9.0687	10.6519	9.3837	9.7513	8.7541
SNX30	na	5.2061	5.7281	6.0669	5.5421	6.1729	5.2597
WDR31	na	0.4079	0.4225	0.4007	0.56	0.3836	0.4244
BSPRY	na	0.8246	1.086	0.8496	0.7793	0.825	0.8632
ALAD	na	18.3373	17.5752	19.8302	15.9138	14.4687	14.8406
POLE3	na	39.7284	44.7654	39.24	35.6517	29.2283	31.8929
KDM4C	na	4.0045	3.5634	4.1943	4.2172	5.3599	4.2502
DMAC1	na	37.1216	40.1913	40.3061	40.5454	36.4774	39.9463
ZDHHC21	na	2.105	2.3916	2.3113	2.5969	2.3478	2.6307
ACO1	na	13.4658	13.6143	14.0793	14.6624	13.2008	13.2731
SMU1	na	42.2063	44.7845	43.9029	43.4792	40.7117	40.8793
DNAJA1	na	2.9954	3.2684	3.1108	3.2915	2.5191	3.285
APTX	na	4.4169	4.5314	4.6647	4.4543	4.289	4.3396
SLC44A1	na	3.3101	2.6216	5.292	3.8767	4.3812	4.1929
B4GALT1	na	32.4092	31.9173	35.4218	30.1965	28.7091	28.0676
FKTN	na	1.221	1.4883	1.661	1.3504	1.2813	1.3582
BAG1	na	163.9542	166.0516	156.5563	137.6591	120.8499	135.8
TAL2	na	0.1149	0.1426	0.0779	0.3074	0.2759	0.3254
CHMP5	na	32.6734	29.1302	32.1559	36.33	39.5528	38.4326
TMEM38B	na	15.1122	13.3862	13.2352	16.1624	17.6965	18.4794
NFX1	na	13.6685	14.398	14.3438	13.2516	12.1757	12.2213
RAD23B	na	37.2895	38.6043	38.0245	39.9206	42.0881	40.524
NOL6	na	17.3065	17.7232	17.0642	15.9639	13.0661	13.2034
ELP1	na	8.9996	9.3435	9.4031	8.9905	8.0213	8.264
UBAP2	na	42.8866	42.7014	43.3936	42.747	40.522	38.8137
EPB41L4B	na	1.9268	1.8148	1.6135	3.3823	3.9859	3.2532
DCAF12	na	31.4293	29.3427	30.3087	31.9274	35.0237	31.3574
UBAP1	na	16.0457	15.6485	16.0925	17.8626	17.714	17.4373
KIF24	na	2.7719	2.8006	2.9258	2.4581	2.4911	2.321
FAM219A	na	2.683	2.8317	2.7676	3.7089	3.9595	4.2377
NUDT2	na	20.1978	20.806	22.0489	24.3533	23.5569	23.6365
ENHO	na	0.1324	0.1768	0.1824	0.2758	0.3716	0.2506
DCTN3	na	87.9646	88.6137	87.5113	83.7099	82.1031	84.5553
VCP	na	35.483	40.941	36.118	32.8784	28.9586	32.3453
FANCG	na	8.9334	10.3477	9.209	7.433	7.2932	7.1626
PIGO	na	8.0499	9.3506	8.7905	6.8862	6.4312	6.3876
STOML2	na	29.7014	30.4766	28.2062	26.5692	24.1687	27.113
UNC13B	na	0.189	0.2658	0.3281	0.1821	0.1587	0.1906
TESK1	na	7.2331	6.6217	6.8192	9.858	10.591	10.6065
CD72	na	6.2528	4.1999	5.5445	21.2226	24.4909	27.3823
CCDC107	na	25.6104	27.5782	25.1563	22.2295	19.936	22.1841
CA9	na	12.7318	9.6508	12.0123	11.1652	14.5474	11.5648
TPM2	na	1.4951	1.0283	1.2781	1.4075	1.3892	1.2804
TLN1	na	111.0031	105.9179	131.5112	112.2977	113.5567	111.325
CREB3	na	9.921	10.892	9.5498	12.8117	11.6027	13.7516
GBA2	na	9.8706	9.9161	10.8424	9.4656	8.3453	9.4475
RGP1	na	15.5253	14.8731	16.6838	15.189	16.0531	14.4229
NPR2	na	0.3088	0.3285	0.6051	0.2173	0.2238	0.1801
HINT2	na	11.2266	11.3722	10.3844	7.6791	8.1659	8.828
RECK	na	0.8562	0.7269	0.6923	1.2209	1.4148	0.8871
CLTA	na	156.4072	168.1601	144.2431	170.5501	153.3015	180.8938
GNE	na	10.1574	9.53	10.1495	8.9274	10.9737	9.168
GLIPR2	na	18.534	19.788	18.1658	25.6866	27.8657	24.3322
SNAPC3	na	1.8418	1.984	2.0201	2.2192	2.0021	2.0663
PSIP1	na	14.1432	13.355	14.4774	15.4225	15.2298	15.0079
PLIN2	na	46.3794	62.5325	43.883	48.8007	37.5156	49.6877
MLLT3	na	1.5208	1.0738	1.5112	1.4078	2.1802	1.5846
HACD4	na	8.7779	7.048	10.7778	16.8157	21.6076	19.4519
USP24	na	6.8464	6.9264	8.2432	7.3845	7.6508	7.089
PLPP3	na	1.1114	0.4932	1.5818	0.541	0.5382	0.492
PRKAA2	na	0.54	0.4018	0.898	0.5471	0.5701	0.5757
SLC35D1	na	1.5147	1.6508	1.5702	1.5896	1.3077	1.4952
MIER1	na	3.8878	3.9788	3.8375	4.529	4.6152	4.4903
TCTEX1D1	na	0.9058	1.7367	0.7747	1.2124	1.5939	1.5686
SGIP1	na	0.2019	0.2439	0.2024	0.27	0.2647	0.2222
PDE4B	na	4.4565	3.583	4.2329	8.02	11.3603	7.9852
AK4	na	12.6568	12.8592	11.3349	10.5704	15.8506	12.262
DNAJC6	na	4.68	3.7142	4.9575	3.143	4.8448	3.4259
JAK1	na	26.3228	24.9107	28.4361	30.9961	35.754	30.3996
C1orf210	na	2.6903	2.4137	4.853	1.2626	1.5871	1.4075
ST3GAL3	na	8.1923	6.9396	7.9548	7.4455	7.979	7.3831
DPH2	na	9.7446	11.0191	9.9228	9.4822	6.6176	7.7769
B4GALT2	na	0.2839	0.3546	0.2405	0.2189	0.2106	0.2527
SLC6A9	na	12.1577	11.3552	12.8864	9.6895	5.6335	6.5809
BEND5	na	0.1275	0.0355	0.047	0.098	0.1902	0.1571
ITGB3BP	na	1.2938	1.2695	1.541	1.3829	1.4667	1.3829
ATG4C	na	3.6745	3.0068	3.2938	4.3003	5.5039	4.1508
CDKN2C	na	6.6424	7.0341	6.7363	4.9063	5.6879	5.1199
EPS15	na	7.5575	7.7927	8.3306	9.9614	10.4047	10.2575
ANGPTL3	na	0.1357	0.1627	0.168	0.135	0.2318	0.1508
TTC39A	na	0.5082	0.5558	0.5254	0.5329	0.4595	0.6107
DOCK7	na	3.5008	3.5933	3.6199	5.6454	5.6801	5.4161
RNF11	na	7.4728	5.9836	9.0784	7.6508	8.3864	8.6371
OSBPL9	na	12.0921	11.7665	13.3977	14.4287	16.867	14.9776
USP1	na	25.7277	27.7581	28.5657	26.3401	22.3696	23.8128
TM2D1	na	5.2304	4.5069	4.931	6.2479	6.4435	7.3491
NFIA	na	0.1974	0.2094	0.2373	0.4343	0.4372	0.3712
TXNDC12	na	44.9579	37.4168	40.526	41.2899	41.7855	39.0719
HOOK1	na	1.7914	1.6766	1.9469	2.0091	2.2157	1.9454
FGGY	na	2.4992	1.8982	2.3201	3.4647	3.7749	3.4266
IFT74	na	2.5907	2.5189	2.9627	3.0332	2.8278	3.1987
PLAA	na	8.5591	9.2128	8.6744	9.9577	9.258	9.4469
CAAP1	na	2.981	2.8748	3.0455	3.1914	3.1927	3.1931
PUM1	na	12.3896	11.4318	12.7317	13.3323	13.4676	12.3172
LAPTM5	na	381.3579	339.9027	382.7503	396.2192	437.7829	418.5041
CC2D1B	na	16.602	18.2691	17.452	14.9975	14.0257	15.0932
PDPN	na	0.5363	0.4836	0.5185	0.1621	0.1609	0.252
ORC1	na	4.7377	6.5418	4.814	5.1561	4.3398	5.1007
GPX7	na	0.43	0.3191	0.3718	0.4915	0.7103	0.671
TNFRSF1B	na	72.2873	72.7921	64.0386	103.869	101.7712	110.7605
ECHDC2	na	0.4987	0.6437	0.6037	0.5793	0.5146	0.5673
TNFRSF8	na	3.1154	2.5399	2.2418	4.7786	7.8351	5.9285
SCP2	na	29.0291	27.3009	28.2621	29.0883	32.7228	32.4669
CPT2	na	18.3575	16.2795	18.1007	18.5239	20.4101	16.8175
C1orf123	na	5.6277	6.1314	5.7901	5.641	5.5189	5.2965
MAGOH	na	89.1684	102.2839	89.6159	76.0778	64.8986	77.2469
LRP8	na	7.4572	9.1069	8.1045	7.5488	6.1172	6.6218
NDC1	na	17.368	20.2583	17.1809	15.3096	12.4202	13.4023
LRRC42	na	11.1462	10.7741	10.6009	11.418	10.5655	12.0305
TMEM59	na	101.3958	91.2205	100.8837	107.7586	121.7911	114.2452
TCEANC2	na	4.4119	4.2494	3.9535	3.9626	4.1787	4.0171
CYB5RL	na	1.3759	1.6657	1.39	1.1462	0.8205	1.0507
MRPL37	na	12.6823	14.7803	11.6456	11.2847	9.4747	10.7904
EXO5	na	11.2882	11.61	11.1821	10.5356	10.7759	11.3029
FOXD2	na	0.9925	0.4889	0.7761	0.8016	0.949	0.922
TMEM245	na	1.7179	1.814	1.899	1.6845	1.6634	1.6486
FBXO6	na	18.3527	17.1338	19.5093	19.0287	21.3151	20.1264
TMEM69	na	5.6244	6.8528	5.7981	5.2178	5.4161	6.0893
TRIQK	na	0.3505	0.2181	0.6229	0.664	0.5567	0.9837
PTAFR	na	8.956	9.6009	7.6873	10.6531	8.4452	10.1312
RBBP4	na	37.8363	40.3194	36.9517	35.3651	34.4319	33.6906
YIPF1	na	5.9641	6.4112	6.1079	6.2379	6.2068	6.2495
ECE1	na	6.2761	6.254	6.4243	8.8268	9.1489	9.4671
ZBTB8OS	na	5.1445	5.4595	4.6834	4.6116	4.2275	4.8605
PRDM2	na	8.4365	8.6394	8.2652	8.7048	8.9445	8.0459
MDN1	na	3.2829	3.728	3.4093	3.3886	2.4597	2.6563
C9orf43	na	0.2449	0.3096	0.3853	0.3809	0.2929	0.1567
RPL11	na	7.1466	8.9119	8.1077	6.5865	5.7255	7.0388
ALDOA	na	1.3671	1.057	1.3531	1.2566	1.4303	1.1899
C8orf37	na	7.1058	6.045	8.7721	8.0501	11.2045	7.5668
RCAN3	na	3.8471	3.5305	4.0517	5.0487	5.3753	4.7729
RGS3	na	0.7124	0.5806	0.5721	0.6571	0.6221	0.7064
C1orf159	na	11.1948	12.8337	11.1469	9.4892	9.6275	8.3568
ZNF462	na	0.2668	0.2068	0.2539	0.2444	0.2907	0.2113
ZBTB40	na	2.3694	2.5354	2.5268	2.4446	2.1657	2.0387
DNAI1	na	0.1389	0.0895	0.0654	0.0953	0.1374	0.1004
STX17	na	5.0849	5.2323	6.0256	5.0637	6.0688	5.2065
VMA21	na	0.1098	0.0407	0.108	0	0.0524	0.1247
PATJ	na	0.1369	0.1095	0.1142	0.1406	0.1735	0.1253
SSBP3	na	6.7167	6.4741	6.8789	6.3255	6.5421	6.4156
ZSCAN20	na	0.9356	0.928	0.9926	1.0093	1.2241	0.947
CNR2	na	7.6697	7.5506	8.2651	6.4602	7.3046	6.3322
MYSM1	na	2.6925	3.1378	3.0124	2.7016	2.5812	2.7465
MTAP	na	19.0427	19.7936	19.8565	20.8948	18.1393	18.4065
KIF1B	na	1.2402	1.094	1.3598	1.0886	1.2926	1.1952
HSPB11	na	2.8993	2.7052	3.3926	3.1647	4.1171	3.812
ZNF34	na	0.7109	0.6841	0.8164	0.889	1.1314	1.146
ENO1	na	361.366	363.7845	336.4709	334.5267	337.352	347.128
PRPF38A	na	8.566	9.6761	8.7639	8.6067	7.7527	8.3211
UQCRH	na	156.0781	157.8998	162.6236	142.5979	145.5401	150.3589
ZFP69	na	0.6275	0.694	0.6412	0.7337	0.7018	0.7462
RNU6-856P	na	0.1144	0.1064	0.2052	0.4636	0.3208	0
SNORA44	na	5.8882	9.1787	6.8414	7.767	4.1195	7.6193
SNORA16A	na	2.4127	5.4406	3.6111	3.7865	2.0805	2.0727
SNORD38A	na	10.7929	11.0956	11.1637	9.6646	5.4876	6.4766
SNORA55	na	0.1077	0.2464	0	0.0889	0.2449	0.0971
RNA5S9	na	3.4054	3.5101	5.0674	5.583	5.4712	4.7289
AURKAIP1	na	64.7232	62.0444	59.7363	56.1415	52.9774	57.9678
ZNF34	na	0.6941	0.7588	0.8327	0.8521	0.6411	0.9461
DHRS3	na	19.2858	18.0601	27.2597	21.6833	23.9499	23.067
UBR4	na	14.1976	13.3242	14.8193	13.2796	12.8168	12.0371
HNRNPR	na	30.0487	31.0401	30.9429	31.7509	29.264	28.9697
MED18	na	3.3707	4.1028	3.2707	3.3251	2.9878	2.8777
PHACTR4	na	9.0169	8.6192	8.7689	8.2431	9.6384	8.3408
PRPF4	na	9.1067	9.9634	9.7026	8.8189	7.5568	8.3841
CDC26	na	6.4079	7.0242	6.9121	5.952	5.8802	5.6135
SLC31A1	na	20.3167	21.7668	22.1084	26.2061	28.1588	26.818
FKBP15	na	9.7977	10.2356	10.5424	12.2333	13.5687	13.1182
SLC31A2	na	7.8494	9.4164	7.9679	17.0684	16.1827	17.2103
ANKS6	na	0.0662	0.1157	0.0977	0.1551	0.1561	0.1842
SPAG8	na	0.2019	0.2745	0.2776	0.1804	0.1331	0.1509
IMPAD1	na	6.9672	7.0496	8.0477	7.626	8.1057	8.1422
ZNF34	na	2.0041	1.8064	2.2332	2.1861	1.9087	2.5325
ZNF34	na	1.3075	1.1165	1.5102	1.2295	1.1518	1.4685
LACTBL1	na	0.0992	0.1627	0.1651	0.2329	0.1673	0.1839
RUNX3	na	27.4418	24.476	26.5775	22.9895	28.3853	22.5768
TMEM35B	na	11.0699	9.8899	12.0211	11.4507	13.5061	11.949
CITED4	na	4.1797	4.171	5.0195	4.0405	3.5064	4.5396
LDLRAD1	na	0	0.137	0.0582	0.1483	0.0294	0.1317
KLHL9	na	9.5604	9.265	10.2193	9.6579	10.7196	10.3876
RRAGA	na	34.4118	38.6335	37.6471	38.3924	37.2617	39.682
NDUFB6	na	70.8745	75.106	68.3432	71.6168	60.5174	72.8366
KLHL21	na	7.55	7.9749	8.0455	6.531	6.4448	6.0105
CENPS	na	8.2556	9.9051	8.0121	7.1276	4.6285	5.7813
CPLANE2	na	0.5203	0.5381	0.7147	0.4442	0.3026	0.5239
C1orf216	na	0.7575	0.9786	0.8633	1.2809	1.325	1.5487
SH3D21	na	0.2031	0.2041	0.1574	0.6309	1.1842	0.9931
BTBD19	na	3.5286	4.3021	4.1524	3.3826	2.4778	2.9582
EFCAB7	na	1.0271	0.9294	0.8876	0.7772	1.1145	0.8697
ALG6	na	1.5007	1.5149	1.6122	1.3292	1.4926	1.4281
CDKN2B	na	0.3612	0.326	0.4035	0.4654	0.4261	0.4657
CCL27	na	0.8299	0.7223	0.8901	0.4609	0.83	0.4544
MOB3B	na	0.8395	0.8592	0.7571	0.8364	0.8355	0.9518
GGH	na	14.5461	13.5599	15.3616	17.3103	16.8306	18.4035
TTPA	na	1.6412	1.4853	1.7004	1.8046	1.5679	1.9168
SNRNP40	na	26.8856	29.1895	25.4546	23.8942	19.4115	21.9136
FNDC10	na	4.4559	4.2746	3.944	2.6494	2.3679	2.6496
RNU11	na	0.5015	0.186	0.6994	0.2199	0.3591	0.6607
SMIM1	na	1.2194	0.6564	2.0473	1.0731	1.9065	1.4207
KLHL17	na	3.9654	5.2667	4.446	4.2643	3.7629	4.0928
ZNF34	na	6.0865	4.9871	6.8357	6.1381	7.1194	6.7801
RSC1A1	na	9.7482	11.7162	10.0207	11.8644	11.8157	11.3071
EMC1	na	5.0739	6.086	5.4364	4.3293	3.6684	4.0754
AUNIP	na	20.5702	26.4698	20.5119	19.2536	14.0578	17.8554
NKAIN1	na	0.2912	0.4499	0.5329	0.4434	0.2934	0.551
DCDC2B	na	0.7856	0.8662	0.6715	0.8104	1.0291	0.7998
C1orf122	na	16.0868	15.5505	13.3037	13.557	10.9503	13.0748
C1orf50	na	2.3472	2.5996	2.6044	2.148	2.312	2.0929
FYB2	na	0.7332	0.5116	0.8155	0.2595	0.4227	0.2925
TMEM8B	na	1.8163	1.6455	2.3284	1.2998	2.1452	1.3739
RAD54B	na	1.878	2.2352	2.0421	1.7546	1.6629	1.5304
SNORD99	na	5.7305	10.8344	5.7364	6.4772	3.7782	5.5282
TMEM240	na	0.4063	0.4099	0.4696	0.3055	0.3826	0.3221
FRG2C	na	0.5666	0.6806	0.6552	0.545	0.7865	0.5222
RNU6-837P	na	0.2925	0.0612	0.3811	0.1105	0.0252	0
RMRP	na	0.372	0.322	0.122	0.3213	0.1184	0.8669
SNORD54	na	1.984	2.4618	2.6278	4.1451	2.1206	3.0304
RNU6-138P	na	0.4109	0	0.2881	0	0.1016	0.2934
SCARNA8	na	0.0872	0.3996	0.3382	0.3566	0.278	0.1058
SCARNA1	na	0.3554	0.2266	0.2965	0.1884	0.2916	0
SNORD121B	na	0.5149	0.8758	0.3778	0.5894	0.7833	0.6823
SNORD121A	na	0.2261	0.4878	0.5081	0.4639	0.0653	0.0361
RAB42	na	0.1835	0.1638	0.2839	0.1162	0.6123	0.2701
PALM2-AKAP2	na	0.3277	0.3081	0.4155	0.1812	0.2826	0.2075
DNAJC25-GNG10	na	48.5608	48.2923	50.8311	53.0024	52.2135	57.6089
SNORD55	na	5.8336	9.1657	5.7144	3.7209	3.5431	6.0945
SNORD121A	na	0.3511	0.3004	0	0.1209	0.1625	0.3767
NOC2L	na	132.8097	135.9509	125.7426	113.7029	95.3827	104.2095
RNU5F-4P	na	0.2723	0	0.2166	0	0.2434	0
SAMD11	na	0.2164	0.3016	0.4722	0.3397	0.3877	0.2569
BRAT1	na	5.7381	5.9996	5.8493	5.7161	5.847	5.5859
GNA12	na	41.4691	39.0143	44.3329	47.9587	49.747	47.2242
HNRNPD	na	50.7536	57.4411	52.4002	50.9653	42.9717	48.571
KRIT1	na	5.8882	5.5541	6.1819	6.485	7.5373	6.7666
HIP1R	na	15.2906	14.0892	17.3829	15.5257	15.6875	15.4692
NSUN5	na	10.5163	11.7624	10.3756	9.4276	6.6659	7.8443
MFSD10	na	80.8248	78.5354	75.1127	62.8221	58.0209	58.7968
KCTD10	na	23.9062	23.2767	24.6295	23.6418	26.0578	25.6768
OAS1	na	4.5617	3.5003	4.4627	6.8027	8.8291	7.9231
CYP51A1	na	33.4639	35.3148	38.7342	37.4115	31.7828	32.5001
NOM1	na	10.366	11.0555	10.5805	10.2448	8.4882	8.5214
UBL3	na	21.4076	21.9858	19.494	24.0693	24.0008	25.7777
CLDN15	na	17.3763	18.4151	14.2822	5.8567	4.3897	5.3631
ZDHHC4	na	20.3361	21.1859	20.0867	17.493	15.2442	16.0014
RAC1	na	135.7722	132.4773	140.5351	151.5281	157.0813	150.7289
PAXIP1	na	13.7836	15.6425	14.2456	13.0619	10.6181	11.7937
DBF4	na	8.3934	8.8885	8.9042	8.5655	7.6777	8.2086
BAZ1B	na	18.0509	20.6453	18.5095	16.399	14.5022	14.8524
CD36	na	1.0469	0.9676	1.0859	4.5006	3.1919	5.6405
SRI	na	28.2328	28.1964	29.2367	28.379	28.5805	28.8213
CROT	na	5.6552	5.1349	6.3947	6.1005	6.7486	6.1608
PPP1CC	na	11.7463	11.7704	10.3929	9.9661	9.0666	9.7965
CORO1C	na	18.6118	20.4306	18.8088	19.952	17.7652	19.5344
SLBP	na	13.0532	15.4493	13.4597	12.4412	11.3415	12.1479
CCL24	na	0.6941	1.462	0.9808	0.6569	0.3448	0.628
DGKQ	na	2.8772	3.6482	3.2623	2.8618	2.8502	2.8228
PLOD3	na	40.2778	39.7871	37.2834	28.8278	28.4811	29.7869
AP1S1	na	65.5936	71.1036	66.5171	67.1437	61.2736	68.8844
DTX2	na	3.1487	3.2836	3.2628	7.0444	5.2644	7.2748
SH2B2	na	23.2949	25.0957	22.1353	23.1298	20.4918	21.8972
WDR1	na	98.6675	99.7946	105.4809	119.3392	101.7267	113.9678
SLC2A9	na	3.5322	2.3598	3.4959	3.2662	4.2233	3.1268
LETM1	na	8.838	9.3928	8.8599	8.0277	6.9231	7.9471
MLXIPL	na	0.1335	0.1508	0.1255	0.0467	0.0826	0.0596
TBL2	na	9.835	11.2528	9.0651	7.8632	9.4249	8.0029
BUD23	na	16.883	18.5572	16.3546	15.324	12.7673	14.9208
